"Name","position","college","jersey_number","birthday","age","coll_class","height","weight","hs_loc","hs_name","HS_recruitment","background_info","strengths","stats","GP","GS","pass_comp","pass_att","comp_pct","pass_yds","pass_td","qb_int","rush_att","rush_yds","rush_ypc","rush_TD","rec","rec_yds","rec_ypc","rec_TD","tackles","tfl","sacks","forced_fumbles","passes_defended","def_int","arm_length","hand_size","wingspan","forty_dash","twenty_shuttle","ten_split","vert_jump","broad_jump","short_shuttle","three_cone","bench","season","draft_year","draft_team","draft_round","draft_ovr","pfr_id"
"AUSTIN BRYANT","EDGE","Clemson",7,"11/12/1996","22.46","SR",75.875,271,"Pavo, Ga.","Thomas County Central",4,"A four-star defensive end recruit out of high school, Austin Bryant was a standout football and basketball player at Thomas County Central. He posted 64 tackles, 5.0 sacks and three forced fumbles as a junior, but missed most of his senior year after suffering a fractured fifth metacarpal in his left foot. A consensus top-20 player in the state of Georgia, Bryant was the No. 12 defensive end in the 2015 recruiting class and committed to Clemson over Alabama, Georgia, Notre Dame and others. He accepted his invitation to the 2019 Senior Bowl, but was unable to participate due to injury.","Adequate body type and initial movements…uses flexible strides to maintain his momentum around the edge…persistent hands, relying on his length to wear down offensive tackles…not shy introducing his punch early in the rep…uses a swat move to leverage the corner…determined chaser and finds an extra gear to close when he has a clear lane to his target…tracks the football well from snap to whistle…reliable football character…consistent starting production the past two seasons.","YEAR (GP/GS)     TKLS   TFL    SACK    FF      PD     INT      NOTES 2015: (13/0)     35     2.0    1.5     0       1      0 2016: (9/0)      16     3.0    2.0     0       1      0 2017: (14/14)    58     15.5   8.5     2       2      1        First Team All-American; Second Team All-ACC 2018: (15/15)    44     14.5   8.0     0       0      0        Third Team All-ACC; Cotton Bowl Defensive MVP Total: (51/29)   153    35.0   20.0    2       4      1                                                                                        [121]               HT      WT ARM          HAND WING             40-YD 20-YD 10-YD          VJ        BJ         SS     3C      BP COMBINE      6037 271 34 5/8 09 5/8 81 3/8                 -     -     -              -         -          -      -       -     (no workout – right pectoral) PRO DAY      N/A (no workout – right pectoral)  ",15,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,44,14.5,8,0,0,0,34.625,9.625,81.375,.,.,.,.,.,.,.,.,2019,2019,"Detroit Lions",4,117,"BryaAu00"
"CHARLES OMENIHU","EDGE","Texas",90,"8/20/1997","21.69","SR",77.375,280,"Rowlett, Texas","Rowlett",3,"A three-star defensive end recruit out of high school, Charles Omenihu (oh-MEN-uh-hoo) put himself on the recruiting map as a junior at Rowlett, posting 50 tackles, 11.0 tackles for loss and 4.0 sacks. He helped lead the team to the playoffs as a senior with 61 tackles, 23.0 tackles for loss, 11.5 sacks and five forced fumbles, earning All-District honors for the second straight year. Omenihu was the No. 17 defensive end recruit in the 2015 class and committed to Texas during his junior season, sticking with the Longhorns after programs like Florida, LSU and Notre Dame offered his senior year. He accepted his invitation to the 2019 Senior Bowl.","Tall, rangy frame with elite arm length and wingspan…pounces out of his stance with a stout punch to lock out and battle at the point of attack…uses his reach and forward lean to steamroll through blockers…stays balanced through congestion…gap sound and understands his role…athletic feet with the loose lower body…didn’t look like a fish out of water when asked to drop…graduated with his bachelor’s degree (Dec. 2018)…strong senior season, leading the Big 12 in sacks.","YEAR (GP/GS)     TKLS   TFL    SACK     FF      PD   INT   NOTES 2015: (12/0)     17     1.0    0.0      1       0    0 2016: (12/7)     26     4.5    3.5      0       0    0 2017: (13/12)    28     7.0    4.0      2       0    0 2018: (14/14)    45     18.0   9.5      1       2    0     First Team All-Big 12; Big 12 Defensive Lineman of the Year; Led the Big 12 in sacks Total: (51/33)   116    30.5   17.0     4       2    0               HT      WT     ARM        HAND      WING      40-YD 20-YD 10-YD          VJ        BJ         SS     3C      BP COMBINE      6053    280    36         09 3/8    85 1/2    4.92  2.86  1.71           36 1/2    09’07”     4.36   7.48    -     (no bench – choice) PRO DAY                                                    4.98  2.87  1.76           -         -          -      7.25    15    (stood on Combine jumps and shuttle)  ",14,14,.,.,.,.,.,.,.,.,.,.,.,.,.,.,45,18,9.5,1,2,0,36,9.375,85.5,4.92,2.86,1.71,36.5,115,4.36,7.48,.,2019,2019,"Houston Texans",5,161,"OmenCh00"
"BEN BANOGU","EDGE","TCU",15,"1/19/1996","23.28","rSR",75.5,250,"McKinney, Texas","Prosper",2,"A two-star defensive end recruit out of high school, Benjamin “Ben” Banogu (Ban-uh-Goo) was born in Nigeria and moved to the United States, along with his mother (Ugochi) and four brothers, when he was six months old. He played quarterback much of his life until his sophomore year of high school when Davis Webb transferred to Prosper. After missing much of his junior year with a broken femur, Banogu posted 10.5 sacks as a senior, earning Third Team All-State honors. He also played basketball and ran track at Prosper, earning All-District honors in track. Banogu went underrecruited as the No. 472 player in the 2014 recruiting class, signing with Louisiana-Monroe (his only FBS-level offer). He redshirted in 2014 and had a breakout freshman campaign in 2015, prompting interest from TCU. He jumped at the opportunity to play closer to home, sitting out the 2016 season and starting every game the last two years for the Horned Frogs. His older brother (Michael) was an offensive lineman at North Texas. Banogu accepted his invitation to the 2019 Senior Bowl.","Loose lower body and reactive quickness…pursuit speed is his best attribute, closing the gap in chase mode…introduces tempo mid-rush to create suddenness that blockers can’t handle…active hands and feet to keep himself free…smart play recognition, reading screens or options and using his athleticism to make stops…coaches speak highly of his hustle and motivation…chiseled body type and takes care of himself…graduated with his bachelor’s degree (December 2018)…outstanding production (49.0 tackles for loss and 22.0 sacks) in his three seasons on the field, starting every game.","YEAR (GP/GS) TKLS TFL SACK             FF      PD    INT    NOTES 2014: Redshirted                                            Louisiana-Monroe 2015: (13/13) 45        14.5 5.0       2       2     0      Louisiana-Monroe 2016: Sat out due to transfer rules                         TCU 2017: (14/14) 49        16.5 8.5       3       1     0      TCU; First Team All-Big 12; Big 12 Defensive Newcomer of the Year 2018: (13/13) 57        18.0 8.5       2       0     0      TCU; First Team All-Big 12 Total: (40/40) 151 49.0 22.0           7       3     0              HT      WT ARM         HAND WING 40-YD 20-YD 10-YD                        VJ       BJ        SS     3C      BP COMBINE     6034 250 33 5/8 09             80 1/2 4.62         2.68 1.62              40       11’02”    4.27   7.02    23 PRO DAY     N/A (stood on Combine numbers; positional drills only)  ",13,13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,57,18,8.5,2,0,0,33.625,9,80.5,4.62,2.68,1.62,40,134,4.27,7.02,23,2019,2019,"Indianapolis Colts",2,49,"BanoBe00"
"JONATHAN LEDBETTER","EDGE","Georgia",13,"9/12/1997","21.63","SR",75.75,280,"Tucker, Ga.","Tucker",4,"A four-star defensive tackle recruit out of high school, Jonathan Ledbetter played tight end and defensive lineman at Tucker, leading the team to a 10- win season his senior year. He collected 6.0 sacks in 2014 and earned Honorable Mention All-State honors and a spot in the Under Armour All-America Game. Ledbetter was considered a top-10 recruit in the state of Georgia and received offers from every school in the southwest. He initially committed to Alabama, but flipped to Georgia just three weeks after Ledbetter’s older brother (Joseph), who played two seasons of Division-II basketball, accepted a scholarship to play tight end at Georgia. Ledbetter accepted his invitation to the 2019 Senior Bowl.","Passes the eye test with the length to leverage the point-of-attack…maintains spacing to shed and keep blockers from his body…locks out with his arms, runs his feet and creates movement as a bull rusher…physical hands and looks to mix things up…stubbornly holds his ground and refuses to be moved…veteran awareness, sniffing out screens…competes with an aggressive edge, both in games and on the practice field…named a senior captain and his coaches speak highly of his maturation over his college career.","YEAR (GP/GS)     TKLS   TFL    SACK    FF      PD    INT    NOTES 2015: (7/0)      4      0.0    0.0     0       0     0 2016: (7/4)      24     2.5    1.0     0       0     0      Suspended the first six games following two alcohol-related arrests 2017: (15/11)    38     5.5    2.5     0       0     0 2018: (14/13)    56     6.5    1.0     2       0     0      Team Captain Total: (43/28)   122    14.5   4.5     2       0     0              HT       WT    ARM        HAND         WING     40-YD 20-YD 10-YD         VJ       BJ        SS     3C      BP COMBINE     6036     280   34 1/2     09 7/8       79 3/4   5.14  2.97  1.77          26 1/2   09’00”    -      -       22    (no shuttle or 3-cone – choice) PRO DAY                                                     5.12  2.90  1.77          -        -         4.69   7.72    -     (stood on Combine jumps and bench)  ",14,13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,56,6.5,1,2,0,0,34.5,9.875,79.75,5.14,2.97,1.77,26.5,108,.,.,22,2019,.,.,.,.,"LedbJo01"
"JOE JACKSON","EDGE","Miami (Fla.)",99,"12/20/1996","22.36","JR",76.25,275,"Homestead, Fla.","Gulliver Prep",4,"A four-star defensive end recruit out of high school, Joseph “Joe” Jackson, who is the youngest of seven kids, was in foster care before his grandmother took over and cared for Jackson and his siblings. When his grandmother died in 2008, his aunt helped raise them. He was a three-sport standout at                                                                                       Gulliver Prep, starring in football and basketball and throwing the discus and shot put in track. After posting 59 tackles and 4.0 sacks as a junior, Jackson posted 46 tackles, 6.0 sacks and four forced fumbles as a senior, earning Class 5A Male Athlete of the Year honors. He was the No. 16 defensive end in the 2016 recruiting class and committed to nearby Miami (Fla.) over offers from Alabama, Clemson and others. Jackson was expecting to redshirt in 2016, but depth issues on the team forced him into action early. He elected to skip his senior season and enter the 2019 NFL Draft.","Good-looking on the hoof with a projectable body…long-levered rusher…quick initial step and finds his top speed quickly…gap invader with the balance to squeeze through contact…rushes with the power to force his way through blocker’s shoulder…revving motor through the whistle…sniffs out screens and doesn’t lose sight of the football…excellent backfield production with double-digit tackles for loss each of his three seasons…scored two defensive touchdowns (42-yard interception return and a recovered fumble in the end zone)…responds well to hard coaching and his college coaches say he wants to be great.","YEAR (GP/GS)     TKLS   TFL    SACK     FF      PD    INT    NOTES 2016: (13/2)     32     11.5   8.5      2       0     0      Led all FBS true freshmen in sacks 2017: (13/12)    59     11.5   6.5      1       2     0 2018: (13/12)    47     14.5   9.0      2       4     1      All-ACC Honorable Mention Total: (39/26)   138    37.5   24.0     5       6     1               HT      WT      ARM       HAND         WING     40-YD 20-YD 10-YD         VJ         BJ       SS     3C       BP COMBINE      6042    275     34 1/8    10           80       -     -     -             27         09’01”   -      -        22    (no runs, shuttle or 3-cone – choice) PRO DAY                                                      4.84  2.85  1.78          28 1/2     09’03”   4.66   7.80     -     (stood on Combine bench)  ",13,12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,47,14.5,9,2,4,1,34.125,10,80,.,.,.,27,109,.,.,22,2019,2019,"Dallas Cowboys",5,165,"JackJo02"
"JORDAN BRAILFORD","EDGE","Oklahoma St.",94,"10/9/1995","23.56","rJR",74.625,252,"Tulsa, Okla.","Booker T. Washington",3,"A three-star defensive end recruit out of high school, Jordan Brailford played defensive end and linebacker at Booker T. Washington (where he was teammates with fellow Oklahoma State draft prospect Justice Hill) and was also a member of the track team. After posting 98 tackles and 11.0 sacks as a junior, he recorded 105 tackles and 9.0 sacks as a senior to earn First Team All-State honors. Brailford was the No. 8 recruit in the state of Oklahoma and considered offers from Baylor, Kansas State and Texas Tech before signing with Oklahoma State. He redshirted in 2014 due to injury and received a medical redshirt in 2016, giving him a sixth season of eligibility. However, Brailford elected to skip his final year and enter the 2019 NFL Draft. He accepted his invitation to the 2019 East-West Shrine Game.","Gets upfield in a hurry due to his initial burst…effective hand use to win the corner, using various chop and rip moves…dips his shoulder and uses lean at the top of his rush…efficient spin move, both inside and outside…heavy-handed and looks to engage before blockers set up…his motor allows him to clean up the messes of teammates…graduated with a degree in Business Management (December 2018)…voted a team captain in 2018…productive final year, leading the team in sacks (9.0) and tackles for loss (16.0).","YEAR (GP/GS) TKLS TFL SACK FF                   PD    INT    NOTES 2014: Redshirted 2015: (10/0)    23    3.5    1.0      0         0     0 2016: Missed the season due to injury                        Medical Redshirt 2017: (13/9)    57    10.5 5.0        1         1     1      Second Team All-Big 12 2018: (13/13) 54      16.0 9.0        1         1     0      First Team All-Big 12; Team Captain; Led Big 12 in sacks per game (0.69) Total: (36/22) 134 30.0 15.0          2         2     1               HT      WT      ARM       HAND         WING     40-YD 20-YD 10-YD         VJ         BJ       SS     3C       BP COMBINE      6025    252     32 1/2    09 1/8       77 3/4   4.65  2.73  1.62          37 1/2     10’06”   -      -        22    (no shuttle or 3-cone – choice) PRO DAY                                                      -     -     -             -          -        4.35   7.44     -     (stood on Combine runs, jumps, bench)  ",13,13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,54,16,9,1,1,0,32.5,9.125,77.75,4.65,2.73,1.62,37.5,126,.,.,22,2019,2019,"Washington Redskins",7,253,"BraiJo00"
"SHAREEF MILLER","EDGE","Penn State",48,"3/14/1997","22.13","rJR",76.5,254,"Philadelphia, Pa.","George Washington",3,"A three-star defensive end recruit out of high school, Shareef Miller, who battled ADHD growing up, started his prep career at Frankford in Philadelphia before his mother (Tekeya Cook) moved the family to a different part of town to escape negative influences. He transferred to rival George Washington for his senior season and posted 11.0 tackles for loss and 6.0 sacks, earning First Team All-Southeastern Pennsylvania honors in 2014. Miller was the No. 12 recruit in the state of Pennsylvania and considered offers from Florida, Miami, Michigan State and others, before electing to stay close to home, signing with Penn State. Miller’s older brother and close mentor, Mikal Powell-Miller, was shot and killed in May 2015, before Shareef left for college. He dedicated his first college game to Mikal. He elected to leave school early and enter the 2019 NFL Draft.","Natural strength rooted in his frame and length…stays low out of his stance with natural limb flexibility…acceleration doesn’t stall in pursuit, making plays from the backside…consistent effort through the whistle, making several tackles downfield on tape…displays the physical appetite and toughness to match up vs. the run…plays gap sound and rarely fooled by misdirection or play action boots…keeps his balance through contact…ascending production…had a tough upbringing, but battled adversity and was a “tremendous leader both on and off the field” in 2018, according to Penn State head coach James Franklin.","YEAR (GP/GS) TKLS       TFL     SACK    FF      PD    INT   NOTES 2015: Redshirted 2016: (14/0)    22      5.5     2.0     1       0     0 2017: (13/12) 37        11.0    5.0     0       0     0     All-Big Ten Honorable Mention 2018: (13/13) 41        15.0    7.5     0       0     0     Third Team All-Big Ten; Co-Defensive Player of the Year Total: (40/25) 100      31.5    14.5    1       0     0              HT      WT ARM         HAND WING 40-YD 20-YD 10-YD VJ                              BJ        SS     3C      BP COMBINE     6044 254 33 5/8 10 1/8 80 5/8 4.69              2.75      1.64       29 1/2        -         4.45   -       16    (no broad jump, 3-cone – back) PRO DAY     N/A (stood on Combine numbers, except bench; positional drills only)                                        17  ",13,13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,41,15,7.5,0,0,0,33.625,10.125,80.625,4.69,2.75,1.64,29.5,.,4.45,.,16,2019,2019,"Philadelphia Eagles",4,138,"MillSh00"
"JALEN JELKS","EDGE","Oregon",97,"8/3/1996","22.74","rSR",77.375,256,"Phoenix, Ariz.","Desert Vista",3,"A three-star defensive tackle recruit out of high school, Jalen Jelks was a basketball-focused athlete growing up and didn’t play football until high school. He didn’t play as a freshman due to a knee injury and didn’t see much action as a sophomore. He started for the varsity team as a junior and played both left tackle and on the defensive line as a senior in 2013, finishing with 72 tackles, 12.0 tackles for loss, 10.0 sacks and three forced fumbles. He also wrestled and played basketball at Desert Vista. Jelks was ranked as a top-10 recruit in the state of Arizona and committed to Oregon over Arizona State, California, Washington and others. His father (J.J.) played college basketball at Kentucky State. Jelks accepted his invitation to the 2019 Senior Bowl.","Workable length…quickness to cross the face of blockers…comfortable on his feet with the agility to play in space…sees through blocks to mirror and make stops in the run game…flashes pop in his hands as an edge-setter…dependable effort and competitive play style, consistently making plays downfield…senior captain…versatile experience lining up inside, on the edge and standing up.","YEAR (GP/GS) TKLS       TFL     SACK    FF      PD    INT   NOTES 2014: Redshirted 2015: (11/0)    9       3.0     3.0     1       1     0 2016: (8/0)     31      4.0     2.0     0       3     1 2017: (13/13) 59        15.0    6.5     0       7     0     DE; Second Team All-Pac 12 2018: (12/12) 57        7.5     3.5     1       1     0     9 DE, 2 OLB; First Team All-Pac 12; Team Captain Total: (44/25) 156      29.5    15.0    2       12    1              HT       WT       ARM      HAND          WING   40-YD 20-YD 10-YD         VJ       BJ        SS     3C      BP COMBINE     6053     256      34 5/8   09 5/8        83     4.92  2.83  1.69          32 1/2   09’05”    4.59   7.22    19 PRO DAY                                                     -     -     -             32 1/2   -         -      -       16    (stood on Combine runs, shuttles, 3-cone)  ",12,12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,57,7.5,3.5,1,1,0,34.625,9.625,83,4.92,2.83,1.69,32.5,113,4.59,7.22,19,2019,2019,"Dallas Cowboys",7,241,"JelkJa00"
"MALIK CARNEY","EDGE","North Carolina",53,"9/21/1995","23.61","rSR",74,251,"Alexandria, Va.","T.C. Williams",3,"A three-star linebacker recruit out of high school, Malik Carney, who didn’t play football until his freshman year of high school, played basketball and football at T.C. Williams, starting at linebacker and running back. As a senior, he rushed for 900+ yards on offense and added 90 tackles, 13.0 sacks and two forced fumbles on defense, earning 2013 Honorable Mention All-Metro honors. Carney was the No. 86 linebacker recruit in the 2014 class (some recruited him at running back) and committed to North Carolina over Pittsburgh and Tennessee. He signed as a WILL linebacker, but moved to a pass rush role early in his Tar Heels career. Carney accepted his invitation to the 2019 East-West Shrine Game.","Comfortable on his feet with smooth hips and lower body…heavy-handed and plays with power…showcases a variety of moves, including a double-chop and outside rip…efficient spin move, creating inside rush lanes for himself…uses his length to keep blockers at bay or force through the shoulder…active on loops and plays with consistent finish…sees through blocks and his nose for the ball keeps him a factor in the play…knack for poking the ball free (nine forced fumbles the last three seasons)…led team in sacks three straight years.","YEAR (GP/GS) TKLS       TFL     SACK    FF      PD    INT      NOTES 2014: Redshirted 2015: (3/0)     12      0.0     0.0     0       0     0 2016: (13/10) 47        8.5     5.5     2       0     0 2017: (12/12) 57        12.0    5.5     2       2     0 2018: (8/8)     60      12.5    6.5     5       2     0        Suspended the first four games of the season Total: (36/30) 176      33.0    17.5    9       4     0              HT       WT       ARM      HAND         WING       40-YD 20-YD 10-YD        VJ         BJ         SS     3C     BP COMBINE     6020     251      33 3/8   09 7/8       78 3/4     4.73  2.77  1.66         33         09’05”     -      7.40   25   (no shuttle – choice) PRO DAY                                                        4.89  2.79  1.71         -          -          4.75   7.45   -    (stood on Combine jumps and bench)  ",8,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,60,12.5,6.5,5,2,0,33.375,9.875,78.75,4.73,2.77,1.66,33,113,.,7.4,25,2019,.,.,.,.,"CarnMa01"
"CARL GRANDERSON","EDGE","Wyoming",91,"12/18/1996","22.36","SR",76.75,254,"Sacramento, Calif.","Grant",2,"A two-star defensive end recruit out of high school, Carl Granderson, who is one of seven children, helped lead Grant to a 14-1 record and the 2014 section championship. After 82 tackles as a junior, he had a dominant senior season with 172 tackles, 34.0 tackles for loss and 15.0 sacks at linebacker. At 6-6 and 185 pounds, Granderson was recruited as a defensive end and ranked as the No. 235 recruit in the state of California. He held offers from Boise State, Washington State and Wyoming, committing to the Cowboys. Granderson accepted his invitation to the 2019 Senior Bowl.","Flashes initial get-off to threaten the corner…quick swat-and-dip movements to wrap the outside shoulder of edge blockers…long, rangy frame with flexible joints…looks to introduce different tricks in his rush, including a spin move…shows fight with his length to create force…makes himself skinny to knife through slivers of space on the offensive line…long-strider and looks comfortable in space…opportunistic with two defensive touchdowns the last two years (58-yard scoop- and-score and 61-yard pick-six)…graduated with a degree in Social Science (December 2018)…added 75 pounds the last four years.","YEAR (GP/GS)     TKLS   TFL     SACK    FF      PD    INT      NOTES 2015: (12/0)     36     6.0     1.0     0       0     0 2016: (6/6)      19     6.0     4.0     1       1     0 2017: (13/13)    77     16.0    9.5     2       2     2        First Team All-MWC 2018: (11/11)    40     7.5     3.0     0       3     1        Second Team All-MWC Total: (42/30)   172    35.5    17.5    3       6     3              HT      WT ARM          HAND WING                  40-YD 20-YD 10-YD        VJ         BJ         SS     3C     BP COMBINE     6046 254 34             09 5/8 81 7/8              4.79  2.80  1.67         35         09’11”     4.41   7.44   -    (no bench – pectoral) PRO DAY     N/A (no pro day due to off-field incident)  ",11,11,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,7.5,3,0,3,1,34,9.625,81.875,4.79,2.8,1.67,35,119,4.41,7.44,.,2019,.,.,.,.,"GranCa01"
"RONHEEN BINGHAM","EDGE","Arkansas State",8,"10/21/1995","23.53","rSR",74,229,"Bennettsville, S.C.","Marlboro",.,"A no-star recruit out of high school, Ronheen (Ron-HEEN) Bingham played football and basketball at Marlboro County. As a senior, he tallied 131 tackles and 14.0 sacks, earning All-County honors. Bingham received interest from FBS-level programs out of high school, but didn’t have the grades to qualify and went the JUCO route. He signed with Hutchinson Community College (Kan.) where he was teammates with New Orleans Saints running back Alvin Kamara in 2014. As a sophomore, Bingham produced 85 tackles, 19.0 tackles for loss and 6.0 sacks. He was considered a two-star JUCO recruit and committed to Arkansas State over Bowling Green and Charlotte.","Quick first step to work the corner or knife gaps…converts his speed to power when he stays low and extends into contact…violent handwork and embraces the bully role as a rusher, matching the physicality of blockers…flexible hips to sink and redirect…light, coordinated feet to drop and play on his feet…makes it tough for tight ends to mirror him…relentless nature…ranked top-15 in the FBS in tackles for loss (18.5) in 2018.","YEAR (GP/GS) TKLS TFL SACK FF PD                      INT    NOTES 2014: Hutchinson Community College (Kan.)                    Redshirted 2015: Hutchinson Community College (Kan.) 2016: Hutchinson Community College (Kan.) 2017: (12/2)   22   8.0    5.0      2     0           0      Second Team All-Sun Belt 2018: (13/12) 65    18.5 9.0        0     5           0      Sun Belt Defensive Player of the Year; First Team All-Sun Belt Total: (25/14) 87   26.5 14.0       2     5           0               HT      WT ARM            HAND         WING     40-YD 20-YD 10-YD         VJ         BJ        SS     3C         BP COMBINE      N/A (not invited) PRO DAY      6020 229 31 1/4           08 1/2       76 1/2   N/A (did not work out – left knee)  ",13,12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,65,18.5,9,0,5,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"JAMAL DAVIS II","EDGE","Akron",9,"7/9/1995","23.81","rSR",75.125,243,"Canton, Ohio","McKinley",3,"A three-star linebacker recruit out of high school, Jamal Davis II, who was coached by his father (Jamal Sr.) growing up, was a three-year starting linebacker at Canton McKinley. He finished his senior season with 105 tackles, 21.0 tackles for loss, 3.5 sacks and three forced fumbles, earning First Team All-State honors in 2013. Davis ranked as the No. 70 linebacker in the 2014 recruiting class and received mostly MAC offers before committing to Pittsburgh shortly before signing day. After redshirting in 2014 and not seeing playing time in 2015, he decided to transfer closer to home to Akron, sitting out the 2016 season due to transfer rules.","Rushes with twitch, long arms and the first step quickness to get up the field…squeezes through gaps (31.5 tackles for loss in 2017-18)…light feet to slip blocks or set up his spin move…introduces a hesitation move to get blockers off balance…showcases the speed to stand up, string runs outside or chase down from the backside…resets his vision well on the move…play motor isn’t a question…excellent tackle production for a defensive end (5.8 tackles per game at Akron).","YEAR (GP/GS) TKLS TFL SACK              FF      PD    INT    NOTES 2014: Redshirted                                             Pittsburgh 2015: (11/0)    1       0.0    0.0      0       0     0      Pittsburgh 2016: Sat out due to transfer rules                          Akron 2017: (14/12) 69        15.5 2.0        1       0     0      Akron; Third Team All-MAC 2018: (12/12) 82        16.0 5.5        1       7     1      Akron; Second Team All-MAC Total: (37/24) 152 31.5 7.5             2       7     1               HT      WT ARM         HAND WING 40-YD 20-YD 10-YD                        VJ         BJ        SS     3C         BP COMBINE      6031 243 34 1/4 10 1/4 82 3/8 4.60                 2.64 1.60              39         10’02”    4.44   7.00       19 PRO DAY      N/A (stood on Combine numbers; positional drills only)                                                                                          [127]  ",12,12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,82,16,5.5,1,7,1,34.25,10.25,82.375,4.6,2.64,1.6,39,122,4.44,7,19,2019,.,.,.,.,"DaviJa08"
"DERICK ROBERSON","EDGE","Sam Houston St.",49,"11/15/1995","23.46","rSR",74.875,247,"San Antonio, Texas","Brennan",4,"A four-star defensive end recruit out of high school, Derick Roberson (ROE-bur-son) was a three-year starter at Brennan, earning All-State honors each season. He had an All-American senior season with 111 tackles, 39.0 tackles for loss and 20.0 sacks, leading a defense that recorded nine shutouts in 2013. Roberson was a top-10 ranked recruit in the state of Texas and the No. 66 recruit overall nationally, committing to Texas over Alabama and Texas A&M. He was the highest-ranked recruit in the Longhorns’ 2014 recruiting class, but he lasted only two years in Austin. During his redshirt year, Roberson lost his mother to ovarian cancer, an illness she hid from her son to spare him the grief (he didn’t find out about the cancer until after she passed away). He elected to transfer after the 2015 season and landed at FCS-level Sam Houston State where he played his final three seasons. He accepted his invitation to the 2019 East-West Shrine Game. He used his Pro Day to raise awareness and funds for the Ovarian Cancer Research Alliance.","Screams off the edge, penetrating with his first step…stays low out of his stance and extends to pepper blockers…violent hands to swat/rip…natural burst to close on the football…nice job bouncing between gaps on twists…flashes the ability to convert speed to power…terrific motor in pursuit and is never out of range due to his effort…flexible body type to drop, open his hips and cover ground…experienced on the edge and inside over the B-gap…productive senior season as one of only seven FCS players with 20+ tackles for loss…became the first player in school history to lead the FCS in sacks (15.0).","YEAR (GP/GS) TKLS       TFL    SACK    FF      PD       INT   NOTES 2014: Redshirted                                              Texas 2015: (10/0)    6       2.0    2.0     1       0        0     Texas 2016: (8/0)     15      3.5    4.0     0       0        0     Sam Houston State 2017: (13/13) 40        8.0    5.0     1       6        1     Sam Houston State 2018: (11/7)    68      20.5   15.0    5       2        0     Sam Houston State Total: (42/20) 129      34.0   26.0    7       8        1              HT      WT ARM            HAND         WING       40-YD 20-YD 10-YD      VJ       BJ        SS     3C       BP COMBINE     N/A (not invited) PRO DAY     6027 247 32 7/8           09 7/8       78         4.72   2.76   1.69     34 1/2   09’08”    4.22   7.26     18  ",11,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,68,20.5,15,5,2,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
